je_id,entity,posting_date,value_date,period,account_code,account_name,account_type,cost_center,description,debit_credit,amount,currency,vendor_id,vendor_name,invoice_ref,user_id,approved_by,posting_hour,source_system,je_type,reversal_flag
JE-000035,TechFlow Inc,2024-06-03,2024-06-03,2024-06,7100,Interest Income,Revenue,CC294,Standard posting — Interest Income,D,84564.87,CHF,V009,ClearView Analytics,INV-29473,f.nkosi,dir.treasury,13,Concur,Manual,N
JE-000036,FinServ Partners,2023-03-08,2023-03-08,2023-03,4300,Other Operating Income,Revenue,CC135,Standard posting — Other Operating Income,C,353.64,EUR,V003,Premier Office Supply,INV-47316,s.chen,dir.treasury,16,Import,Import,N
JE-000037,TechFlow Inc,2024-07-15,2023-06-06,2023-06,8100,Income Tax Expense,Expense,CC732,Standard posting — Income Tax Expense,C,158847.59,EUR,V002,Global IT Solutions,INV-65739,SYS_TEMP_01,SYS_TEMP_01,23,Manual,Manual,N
JE-000038,FinServ Partners,2023-04-02,2023-04-02,2023-04,6600,IT & Software,Expense,CC656,Standard posting — IT & Software,D,456277.6,GBP,V003,Premier Office Supply,INV-61597,r.kumar,cfo.office,15,Manual,Manual,N
JE-000039,FinServ Partners,2023-03-17,2023-03-17,2023-03,2400,Deferred Revenue,Liability,CC414,Vendor payment — expense reimbursement,C,9988.09,EUR,V003,Premier Office Supply,INV-64849,a.silva,director.finance,10,Oracle,Manual,N
JE-000040,BuildCo SA,2023-06-27,2023-06-27,2023-06,9300,Intercompany Payable,Liability,CC669,Standard posting — Intercompany Payable,C,2387.26,GBP,V004,Metro Legal Advisors,INV-32364,m.okafor,director.finance,17,SAP,Manual,N
JE-000041,ACME Corp,2023-06-03,2023-06-03,2023-06,9200,Intercompany Receivable,Asset,CC628,Standard posting — Intercompany Receivable,C,33318.7,GBP,V008,Alliance Insurance,INV-97205,c.lambert,director.finance,11,SAP,Automated,N
JE-000042,ACME Corp,2023-01-01,2023-01-01,2023-01,4300,Other Operating Income,Revenue,CC648,Standard posting — Other Operating Income,C,324101.96,GBP,V010,Platinum Facilities,INV-13426,m.okafor,dir.treasury,17,Oracle,Automated,N
JE-000043,BuildCo SA,2024-10-15,2024-10-15,2024-10,9300,Intercompany Payable,Liability,CC333,Standard posting — Intercompany Payable,D,22537.21,USD,V001,Apex Consulting,INV-14304,r.kumar,director.finance,17,Concur,Manual,N
JE-000044,Global Trade Ltd,2024-08-14,2024-08-14,2024-08,9100,Clearing / Suspense,Suspense,CC665,Standard posting — Clearing / Suspense,C,958.15,USD,V009,ClearView Analytics,INV-62907,j.martin,cfo.office,13,Import,Automated,N
JE-000045,FinServ Partners,2023-06-16,2023-06-16,2023-06,3200,Retained Earnings,Equity,CC580,Standard posting — Retained Earnings,C,52100.94,EUR,V002,Global IT Solutions,INV-56559,r.kumar,cfo.office,11,SAP,Manual,N
JE-000046,TechFlow Inc,2024-11-07,2024-11-07,2024-11,9100,Clearing / Suspense,Suspense,CC115,Standard posting — Clearing / Suspense,C,25797.95,EUR,V001,Apex Consulting,INV-41186,f.nkosi,cfo.office,10,SAP,Automated,N
JE-000047,ACME Corp,2023-10-04,2023-10-04,2023-10,1300,Inventories,Asset,CC186,Standard posting — Inventories,D,278.79,CAD,V007,Stellar Recruitment,INV-82924,a.silva,dir.treasury,13,SAP,Automated,N
JE-000048,Global Trade Ltd,2024-12-15,2024-12-15,2024-12,4100,Revenue — Products,Revenue,CC999,Standard posting — Revenue — Products,C,60391.9,EUR,V003,Premier Office Supply,INV-45493,r.kumar,mgr.accounting,15,Manual,Manual,N
JE-000049,TechFlow Inc,2024-04-30,2024-04-30,2024-04,2200,Accrued Liabilities,Liability,CC477,Standard posting — Accrued Liabilities,C,110.92,USD,V002,Global IT Solutions,INV-45611,j.martin,cfo.office,13,SAP,Manual,N
JE-000050,TechFlow Inc,2023-01-11,2023-01-11,2023-01,2100,Accounts Payable,Liability,CC750,Standard posting — Accounts Payable,C,35837.15,USD,V004,Metro Legal Advisors,INV-51816,c.lambert,cfo.office,9,Oracle,Manual,N
JE-000051,FinServ Partners,2024-07-14,2024-07-14,2024-07,8100,Income Tax Expense,Expense,CC990,Standard posting — Income Tax Expense,C,653.07,GBP,V009,ClearView Analytics,INV-42952,f.nkosi,cfo.office,12,Import,Manual,N
JE-000052,ACME Corp,2024-02-20,2024-02-20,2024-02,4200,Revenue — Services,Revenue,CC655,Standard posting — Revenue — Services,D,7833.56,USD,V009,ClearView Analytics,INV-58394,r.kumar,cfo.office,13,SAP,Automated,N
JE-000053,BuildCo SA,2023-07-18,2023-07-18,2023-07,6100,Salaries & Wages,Expense,CC893,Standard posting — Salaries & Wages,D,202.84,USD,V001,Apex Consulting,INV-15657,f.nkosi,mgr.accounting,10,SAP,Manual,N
JE-000054,BuildCo SA,2024-03-14,2024-03-14,2024-03,6300,Professional Fees,Expense,CC100,Standard posting — Professional Fees,C,1052.73,GBP,V001,Apex Consulting,INV-55231,t.yamada,cfo.office,11,SAP,Manual,N
JE-000055,ACME Corp,2023-01-03,2023-01-03,2023-01,5200,Direct Labour,Expense,CC218,Standard posting — Direct Labour,C,294.47,USD,V010,Platinum Facilities,INV-49412,r.kumar,cfo.office,16,SAP,Manual,N
JE-000056,Global Trade Ltd,2023-09-19,2023-09-19,2023-09,6600,IT & Software,Expense,CC345,Standard posting — IT & Software,C,5697.83,CHF,V007,Stellar Recruitment,INV-20675,f.nkosi,vp.controller,17,SAP,Automated,N
JE-000057,ACME Corp,2023-09-21,2023-09-21,2023-09,1400,Prepaid Expenses,Asset,CC713,Standard posting — Prepaid Expenses,C,2201.56,EUR,V002,Global IT Solutions,INV-97328,l.dupont,dir.treasury,9,SAP,Automated,N
JE-000058,BuildCo SA,2024-12-12,2024-12-12,2024-12,6700,Depreciation & Amortisation,Expense,CC809,Standard posting — Depreciation & Amortisation,C,1417.48,GBP,V008,Alliance Insurance,INV-84199,t.yamada,dir.treasury,13,SAP,Automated,N
JE-000059,Global Trade Ltd,2023-05-11,2023-05-11,2023-05,6800,Insurance,Expense,CC161,Standard posting — Insurance,D,275266.09,USD,V010,Platinum Facilities,INV-90221,f.nkosi,cfo.office,13,Concur,Automated,N
JE-000060,ACME Corp,2023-11-08,2023-11-08,2023-11,1400,Prepaid Expenses,Asset,CC356,Standard posting — Prepaid Expenses,C,14648.69,USD,V010,Platinum Facilities,INV-85294,j.martin,mgr.accounting,11,SAP,Manual,N
JE-000061,Global Trade Ltd,2024-03-30,2024-03-30,2024-03,3100,Share Capital,Equity,CC466,Standard posting — Share Capital,D,1578.98,CAD,V001,Apex Consulting,INV-31815,c.lambert,cfo.office,14,Import,Import,N
JE-000062,FinServ Partners,2024-12-30,2024-12-30,2024-12,6200,Rent & Occupancy,Expense,CC277,Standard posting — Rent & Occupancy,D,612.81,CAD,V006,NovaTech Services,INV-53540,j.martin,director.finance,14,Oracle,Manual,N
JE-000063,FinServ Partners,2023-09-21,2023-09-21,2023-09,6800,Insurance,Expense,CC219,Standard posting — Insurance,D,104.8,USD,V002,Global IT Solutions,INV-49741,f.nkosi,dir.treasury,8,Oracle,Import,N
JE-000064,TechFlow Inc,2023-10-14,2023-10-14,2023-10,6200,Rent & Occupancy,Expense,CC128,Standard posting — Rent & Occupancy,C,3322.54,EUR,V001,Apex Consulting,INV-58778,r.kumar,dir.treasury,13,SAP,Manual,N
JE-000065,ACME Corp,2023-12-31,2023-12-31,2023-12,6500,Travel & Entertainment,Expense,CC515,Standard posting — Travel & Entertainment,C,373753.08,USD,V001,Apex Consulting,INV-22883,c.lambert,mgr.accounting,10,Oracle,Import,N
JE-000066,FinServ Partners,2023-08-31,2023-08-31,2023-08,1200,Accounts Receivable,Asset,CC223,Standard posting — Accounts Receivable,C,84372.78,USD,V001,Apex Consulting,INV-94692,f.nkosi,cfo.office,11,SAP,Automated,N
JE-000067,TechFlow Inc,2024-04-02,2024-04-02,2024-04,2400,Deferred Revenue,Liability,CC812,Standard posting — Deferred Revenue,D,3365.74,USD,V009,ClearView Analytics,INV-14686,f.nkosi,mgr.accounting,16,SAP,Automated,N
JE-000068,TechFlow Inc,2023-12-07,2023-12-07,2023-12,7200,Interest Expense,Expense,CC373,Standard posting — Interest Expense,D,332.1,EUR,V007,Stellar Recruitment,INV-24168,r.kumar,director.finance,15,Import,Automated,N
JE-000069,Global Trade Ltd,2023-05-25,2023-05-25,2023-05,5100,Cost of Goods Sold,Expense,CC633,Standard posting — Cost of Goods Sold,D,888.48,USD,V006,NovaTech Services,INV-70547,p.garcia,director.finance,11,Oracle,Automated,N
JE-000070,FinServ Partners,2024-01-29,2024-01-29,2024-01,7200,Interest Expense,Expense,CC253,Standard posting — Interest Expense,C,346.45,EUR,V004,Metro Legal Advisors,INV-75880,a.silva,dir.treasury,13,Oracle,Automated,N
JE-000071,BuildCo SA,2024-08-22,2024-08-22,2024-08,6400,Marketing & Advertising,Expense,CC404,Standard posting — Marketing & Advertising,D,8612.84,USD,V001,Apex Consulting,INV-84226,t.yamada,vp.controller,16,Oracle,Automated,N
JE-000072,Global Trade Ltd,2023-07-04,2023-07-04,2023-07,2300,Short-Term Borrowings,Liability,CC548,Standard posting — Short-Term Borrowings,C,62910.77,EUR,V008,Alliance Insurance,INV-99210,a.silva,cfo.office,11,Import,Automated,N
JE-000073,TechFlow Inc,2023-07-17,2023-07-17,2023-07,1100,Cash & Cash Equivalents,Asset,CC456,Standard posting — Cash & Cash Equivalents,C,8265.41,USD,V007,Stellar Recruitment,INV-94039,t.yamada,mgr.accounting,12,Oracle,Automated,N
JE-000074,TechFlow Inc,2023-10-13,2023-10-13,2023-10,1100,Cash & Cash Equivalents,Asset,CC353,Standard posting — Cash & Cash Equivalents,C,364819.91,USD,V007,Stellar Recruitment,INV-39151,f.nkosi,vp.controller,11,Import,Import,N
JE-000075,Global Trade Ltd,2024-04-01,2024-04-01,2024-04,6400,Marketing & Advertising,Expense,CC440,Standard posting — Marketing & Advertising,D,3618.99,EUR,V006,NovaTech Services,INV-97932,c.lambert,director.finance,14,Concur,Import,N
JE-000076,TechFlow Inc,2024-01-30,2024-01-30,2024-01,8100,Income Tax Expense,Expense,CC794,Standard posting — Income Tax Expense,D,1019.98,CHF,V009,ClearView Analytics,INV-42906,l.dupont,mgr.accounting,8,SAP,Import,N
JE-000077,Global Trade Ltd,2024-01-10,2024-01-10,2024-01,6100,Salaries & Wages,Expense,CC950,Standard posting — Salaries & Wages,D,214101.34,USD,V009,ClearView Analytics,INV-73156,a.silva,cfo.office,13,Manual,Manual,N
JE-000078,ACME Corp,2023-03-07,2023-03-07,2023-03,4100,Revenue — Products,Revenue,CC943,Standard posting — Revenue — Products,D,14413.32,USD,V003,Premier Office Supply,INV-76756,j.martin,vp.controller,8,Concur,Manual,N
JE-000079,BuildCo SA,2023-10-02,2023-10-02,2023-10,1500,Property Plant & Equipment,Asset,CC758,Standard posting — Property Plant & Equipment,C,924.77,USD,V004,Metro Legal Advisors,INV-15927,t.yamada,director.finance,14,Oracle,Manual,N
JE-000080,BuildCo SA,2024-12-29,2024-12-29,2024-12,2400,Deferred Revenue,Liability,CC977,Standard posting — Deferred Revenue,D,154.67,USD,V007,Stellar Recruitment,INV-76194,a.silva,director.finance,14,SAP,Import,N
JE-000081,FinServ Partners,2024-08-19,2024-08-19,2024-08,6200,Rent & Occupancy,Expense,CC230,Standard posting — Rent & Occupancy,D,116272.01,USD,V003,Premier Office Supply,INV-15229,t.yamada,vp.controller,11,Oracle,Manual,N
JE-000082,ACME Corp,2023-09-27,2023-09-27,2023-09,9100,Clearing / Suspense,Suspense,CC163,Temporary clearing — pending allocation,C,25189.74,USD,V007,Stellar Recruitment,INV-37535,j.martin,director.finance,9,Oracle,Manual,N
JE-000083,ACME Corp,2023-11-11,2023-11-11,2023-11,2200,Accrued Liabilities,Liability,CC287,Standard posting — Accrued Liabilities,C,2881.59,EUR,V005,FastTrack Logistics,INV-50997,f.nkosi,dir.treasury,10,Concur,Automated,N
JE-000084,TechFlow Inc,2024-07-17,2024-07-17,2024-07,5200,Direct Labour,Expense,CC534,Standard posting — Direct Labour,D,485.77,EUR,V009,ClearView Analytics,INV-15470,l.dupont,dir.treasury,15,Oracle,Manual,N
JE-000085,FinServ Partners,2023-02-26,2023-02-26,2023-02,6300,Professional Fees,Expense,CC121,Standard posting — Professional Fees,D,417923.61,USD,V006,NovaTech Services,INV-89240,f.nkosi,director.finance,12,Oracle,Import,N
JE-000086,BuildCo SA,2024-02-11,2024-02-11,2024-02,9300,Intercompany Payable,Liability,CC369,Standard posting — Intercompany Payable,D,51328.57,CAD,V009,ClearView Analytics,INV-36009,m.okafor,mgr.accounting,13,SAP,Import,N
JE-000087,BuildCo SA,2024-01-23,2024-01-23,2024-01,3100,Share Capital,Equity,CC901,Standard posting — Share Capital,C,23349.03,USD,V004,Metro Legal Advisors,INV-26739,c.lambert,director.finance,16,Oracle,Automated,N
JE-000088,TechFlow Inc,2023-10-13,2023-10-13,2023-10,4100,Revenue — Products,Revenue,CC710,Standard posting — Revenue — Products,C,404.45,USD,V003,Premier Office Supply,INV-14954,l.dupont,vp.controller,11,SAP,Import,N
JE-000089,Global Trade Ltd,2023-05-10,2024-09-23,2024-09,6600,IT & Software,Expense,CC186,IT services instalment 1/5,D,9500.0,USD,V006,NovaTech Services,INV-SPLIT-9889,p.garcia,cfo.office,9,SAP,Manual,N
JE-000090,Global Trade Ltd,2024-06-21,2024-06-21,2024-06,2100,Accounts Payable,Liability,CC995,Standard posting — Accounts Payable,C,4144.69,USD,V007,Stellar Recruitment,INV-15893,j.martin,director.finance,12,SAP,Automated,N
JE-000091,Global Trade Ltd,2024-06-29,2024-06-29,2024-06,6700,Depreciation & Amortisation,Expense,CC174,Standard posting — Depreciation & Amortisation,C,48771.98,EUR,V009,ClearView Analytics,INV-46495,a.silva,mgr.accounting,16,Oracle,Manual,N
JE-000092,ACME Corp,2023-07-11,2023-07-11,2023-07,1200,Accounts Receivable,Asset,CC919,Standard posting — Accounts Receivable,C,429899.71,GBP,V005,FastTrack Logistics,INV-31343,l.dupont,vp.controller,14,SAP,Manual,N
JE-000093,Global Trade Ltd,2024-05-20,2024-05-20,2024-05,4300,Other Operating Income,Revenue,CC569,Standard posting — Other Operating Income,D,18165.91,CHF,V005,FastTrack Logistics,INV-78623,f.nkosi,mgr.accounting,11,SAP,Automated,N
JE-000094,Global Trade Ltd,2024-08-03,2024-08-03,2024-08,1100,Cash & Cash Equivalents,Asset,CC121,Standard posting — Cash & Cash Equivalents,D,329.68,USD,V007,Stellar Recruitment,INV-68643,s.chen,director.finance,11,Oracle,Automated,N
JE-000095,Global Trade Ltd,2024-01-07,2024-01-07,2024-01,6800,Insurance,Expense,CC221,Standard posting — Insurance,D,742.62,USD,V001,Apex Consulting,INV-77288,l.dupont,dir.treasury,14,SAP,Automated,N
JE-000096,Global Trade Ltd,2024-01-11,2024-01-11,2024-01,3200,Retained Earnings,Equity,CC975,Standard posting — Retained Earnings,D,179.26,GBP,V005,FastTrack Logistics,INV-73776,t.yamada,cfo.office,16,Manual,Automated,N
JE-000097,BuildCo SA,2023-07-28,2023-07-28,2023-07,1300,Inventories,Asset,CC816,Standard posting — Inventories,D,677.64,CAD,V007,Stellar Recruitment,INV-62665,a.silva,mgr.accounting,12,SAP,Import,N
JE-000098,ACME Corp,2024-12-05,2024-12-05,2024-12,4100,Revenue — Products,Revenue,CC962,Standard posting — Revenue — Products,D,222.04,USD,V006,NovaTech Services,INV-56081,a.silva,vp.controller,15,Import,Manual,N
JE-000099,BuildCo SA,2024-11-24,2024-11-24,2024-11,6800,Insurance,Expense,CC682,Standard posting — Insurance,C,2118.14,USD,V003,Premier Office Supply,INV-10053,a.silva,cfo.office,9,SAP,Import,N
JE-000100,ACME Corp,2024-03-10,2024-03-10,2024-03,5100,Cost of Goods Sold,Expense,CC793,Standard posting — Cost of Goods Sold,D,816.05,USD,V001,Apex Consulting,INV-25567,p.garcia,director.finance,8,SAP,Import,N
JE-000101,FinServ Partners,2023-03-30,2023-03-30,2023-03,6500,Travel & Entertainment,Expense,CC407,Standard posting — Travel & Entertainment,D,12058.34,USD,V010,Platinum Facilities,INV-94554,f.nkosi,cfo.office,9,Oracle,Automated,N
JE-000102,BuildCo SA,2023-05-06,2023-05-06,2023-05,2100,Accounts Payable,Liability,CC704,Standard posting — Accounts Payable,D,15361.87,GBP,V002,Global IT Solutions,INV-95948,f.nkosi,director.finance,12,Oracle,Manual,N
JE-000103,BuildCo SA,2024-09-24,2024-09-24,2024-09,4100,Revenue — Products,Revenue,CC148,Standard posting — Revenue — Products,C,33805.25,EUR,V001,Apex Consulting,INV-63376,j.martin,mgr.accounting,8,SAP,Manual,N
JE-000104,TechFlow Inc,2023-02-09,2023-02-09,2023-02,6400,Marketing & Advertising,Expense,CC634,Standard posting — Marketing & Advertising,D,20655.3,GBP,V010,Platinum Facilities,INV-96876,f.nkosi,dir.treasury,15,SAP,Import,N
JE-000105,BuildCo SA,2023-01-21,2023-01-21,2023-01,6700,Depreciation & Amortisation,Expense,CC122,Standard posting — Depreciation & Amortisation,C,91484.22,USD,V008,Alliance Insurance,INV-61157,t.yamada,dir.treasury,10,SAP,Manual,N
JE-000106,BuildCo SA,2024-04-04,2024-04-04,2024-04,4300,Other Operating Income,Revenue,CC956,Standard posting — Other Operating Income,C,844.25,USD,V003,Premier Office Supply,INV-44108,f.nkosi,vp.controller,13,Import,Import,N
JE-000107,TechFlow Inc,2024-08-13,2024-08-13,2024-08,2100,Accounts Payable,Liability,CC811,Standard posting — Accounts Payable,D,240.84,EUR,V005,FastTrack Logistics,INV-84144,j.martin,cfo.office,13,SAP,Manual,N
JE-000108,FinServ Partners,2023-05-25,2023-05-25,2023-05,6700,Depreciation & Amortisation,Expense,CC696,Standard posting — Depreciation & Amortisation,D,130.42,USD,V001,Apex Consulting,INV-17878,a.silva,vp.controller,11,Manual,Manual,N
JE-000109,Global Trade Ltd,2024-11-11,2024-11-11,2024-11,2300,Short-Term Borrowings,Liability,CC474,Standard posting — Short-Term Borrowings,C,282851.06,USD,V004,Metro Legal Advisors,INV-76731,t.yamada,dir.treasury,14,Oracle,Manual,N
JE-000110,ACME Corp,2023-08-22,2023-08-22,2023-08,3200,Retained Earnings,Equity,CC509,Standard posting — Retained Earnings,D,312548.92,USD,V003,Premier Office Supply,INV-49044,j.martin,vp.controller,15,Import,Manual,N
JE-000111,TechFlow Inc,2023-12-04,2023-12-04,2023-12,2400,Deferred Revenue,Liability,CC523,Standard posting — Deferred Revenue,D,37424.35,USD,V009,ClearView Analytics,INV-35588,a.silva,director.finance,17,SAP,Automated,N
JE-000112,BuildCo SA,2024-03-14,2024-03-14,2024-03,6800,Insurance,Expense,CC744,Standard posting — Insurance,C,9704.5,USD,V006,NovaTech Services,INV-57796,p.garcia,dir.treasury,10,SAP,Automated,N
JE-000113,BuildCo SA,2023-03-21,2023-03-21,2023-03,9300,Intercompany Payable,Liability,CC615,Standard posting — Intercompany Payable,C,480.22,USD,V004,Metro Legal Advisors,INV-25891,c.lambert,director.finance,16,Oracle,Manual,N
JE-000114,BuildCo SA,2023-12-02,2023-12-02,2023-12,5100,Cost of Goods Sold,Expense,CC871,Standard posting — Cost of Goods Sold,D,366399.43,CHF,V007,Stellar Recruitment,INV-72937,c.lambert,dir.treasury,12,SAP,Reversal,N
